DateTime,Open,High,Low,Close,Volume,VolumeBTC,Symbol,RSI_14,SMA_14,EMA_14,RSI_30,SMA_30,EMA_30,RSI_60,SMA_60,EMA_60
2017-02-15,6.02e-06,6.19e-06,5.6e-06,5.71e-06,110281954.3,652.68,XRP,29.78690775649097,6.1792857142857185e-06,6.233640786138706e-06,37.134285317378286,6.646333333333298e-06,6.554235643424921e-06,41.039088029720425,6.90450000000006e-06,7.140028248009814e-06
2017-02-16,5.71e-06,5.9e-06,5.46e-06,5.6e-06,87035415.32,493.2,XRP,28.264304881596633,6.12571428571429e-06,6.149155347986878e-06,36.4232963236945,6.575999999999965e-06,6.492672053526539e-06,40.71985788952532,6.861000000000059e-06,7.089535518566869e-06
2017-02-17,5.6e-06,5.85e-06,4.79e-06,5.2e-06,208146285.3,1094.29,XRP,23.570179870626895,6.054285714285719e-06,6.022601301588628e-06,33.97872542639831,6.499999999999965e-06,6.409273856524827e-06,39.58158788687403,6.81300000000006e-06,7.027583534351562e-06
2017-02-18,5.2e-06,5.65e-06,5.19e-06,5.62e-06,92475729.31,503.41,XRP,35.602231414550744,6.010000000000005e-06,5.9689211280434775e-06,38.4600871955717,6.4413333333332975e-06,6.358352962555484e-06,41.332265737118995,6.776666666666727e-06,6.981433254536757e-06
2017-02-19,5.62e-06,5.68e-06,5.29e-06,5.37e-06,80700791.52,442.68,XRP,32.35391974903979,5.949285714285719e-06,5.889064977637681e-06,36.9187275585728,6.377333333333299e-06,6.294588255293839e-06,40.61999339433482,6.740666666666726e-06,6.92859937733883e-06
2017-02-20,5.37e-06,5.51e-06,5.14e-06,5.21e-06,66578503.69,351.61,XRP,30.448917355008685,5.89071428571429e-06,5.798522980619323e-06,35.9654922097106,6.306999999999965e-06,6.2246148194684306e-06,40.16957854282642,6.718333333333392e-06,6.8722518567703435e-06
2017-02-21,5.21e-06,5.36e-06,5.12e-06,5.2e-06,31801945.09,166.33,XRP,30.32933290220081,5.830714285714291e-06,5.718719916536747e-06,35.90561848404234,6.238666666666631e-06,6.158510637567242e-06,40.14129571417034,6.6846666666667264e-06,6.817423927040168e-06
2017-02-22,5.2e-06,5.22e-06,5.03e-06,5.11e-06,22521955.56,115.29,XRP,29.22263773780657,5.742142857142862e-06,5.637557260998514e-06,35.358195141898996,6.166333333333298e-06,6.090864789982259e-06,39.88434541354362,6.650333333333393e-06,6.761442814678195e-06
2017-02-23,5.11e-06,5.03e-06,4.61e-06,4.82e-06,2605887.86,12.63,XRP,25.953188577616338,5.6350000000000045e-06,5.528549626198712e-06,33.64998347888828,6.086333333333298e-06,6.00887351320921e-06,39.06516145380882,6.615833333333394e-06,6.697788951901861e-06
2017-02-24,4.82e-06,5.08e-06,4.7e-06,4.93e-06,31622207.64,155.1,XRP,29.17357797187986,5.537142857142861e-06,5.448743009372217e-06,34.883034019268194,6.022333333333298e-06,5.939268770421518e-06,39.54400278799823,6.588833333333393e-06,6.639828658396882e-06
